parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,index,par_type,item
theta,-0.155,0.162,-0.46,0.147,0.001,0.001,13103,12516,1,628,person,
theta,0.775,0.156,0.495,1.078,0.002,0.001,9533,11108,1,930,person,
theta,-1.797,0.201,-2.169,-1.414,0.002,0.002,9387,12680,1,482,person,
theta,1.231,0.153,0.944,1.515,0.002,0.001,7914,10861,1,961,person,
theta,-0.062,0.165,-0.373,0.248,0.002,0.001,11856,11655,1,1148,person,
theta,-0.083,0.177,-0.402,0.265,0.002,0.002,13482,11844,1,98,person,
theta,-0.411,0.19,-0.764,-0.045,0.002,0.002,16020,11736,1,736,person,
theta,0.821,0.167,0.515,1.142,0.002,0.001,11089,12672,1,536,person,
theta,-0.163,0.158,-0.457,0.136,0.001,0.001,11374,12770,1,987,person,
theta,-2.445,0.154,-2.733,-2.158,0.002,0.001,3859,8320,1,862,person,
theta,-1.929,0.153,-2.221,-1.656,0.002,0.001,4771,11969,1,99,person,
theta,-0.124,0.157,-0.427,0.164,0.002,0.001,9700,11957,1,1079,person,
theta,-1.562,0.21,-1.942,-1.157,0.002,0.002,11854,12797,1,244,person,
theta,-0.988,0.169,-1.312,-0.681,0.002,0.001,9157,10563,1,601,person,
theta,0.74,0.151,0.463,1.03,0.002,0.001,9505,11661,1,129,person,
theta,0.383,0.17,0.056,0.702,0.001,0.001,13401,11367,1,639,person,
theta,-1.439,0.157,-1.731,-1.14,0.002,0.001,5445,11828,1,941,person,
theta,-2.395,0.153,-2.685,-2.11,0.002,0.001,3771,9268,1,84,person,
theta,-2.531,0.171,-2.847,-2.212,0.003,0.001,3827,8786,1,973,person,
theta,0.959,0.149,0.672,1.236,0.002,0.001,7838,11037,1,359,person,
theta,-1.021,0.174,-1.345,-0.694,0.002,0.002,9541,10180,1,841,person,
theta,-0.608,0.178,-0.96,-0.286,0.002,0.002,13770,11484,1,389,person,
theta,-0.147,0.172,-0.464,0.186,0.002,0.001,11753,12039,1,380,person,
theta,-0.464,0.172,-0.788,-0.14,0.001,0.001,14486,12116,1,14,person,
theta,0.352,0.157,0.059,0.653,0.002,0.001,10912,11416,1,1141,person,
theta,1.105,0.161,0.795,1.396,0.002,0.001,8519,11615,1,750,person,
theta,-1.229,0.157,-1.531,-0.944,0.002,0.001,5768,11299,1,472,person,
theta,0.92,0.176,0.6,1.258,0.002,0.001,11638,12840,1,656,person,
theta,-0.111,0.168,-0.422,0.208,0.002,0.001,12485,12277,1,412,person,
theta,0.473,0.174,0.145,0.799,0.002,0.001,13101,13758,1,125,person,
theta,0.626,0.153,0.336,0.912,0.002,0.001,9510,13679,1,4,person,
theta,-2.216,0.171,-2.538,-1.897,0.002,0.002,5519,8483,1,97,person,
theta,-0.214,0.187,-0.568,0.13,0.001,0.002,15671,12826,1,1099,person,
theta,-0.726,0.151,-1.013,-0.445,0.002,0.001,9614,11146,1,723,person,
theta,-0.311,0.155,-0.601,-0.017,0.002,0.001,8752,11892,1,1088,person,
theta,1.541,0.17,1.216,1.859,0.002,0.001,7525,11663,1,707,person,
theta,0.388,0.17,0.074,0.716,0.002,0.001,11392,12815,1,777,person,
theta,0.297,0.166,-0.01,0.62,0.002,0.001,11308,11745,1,597,person,
theta,0.867,0.162,0.559,1.174,0.002,0.001,9888,11446,1,37,person,
theta,-0.765,0.174,-1.099,-0.445,0.002,0.001,11547,12097,1,452,person,
theta,0.104,0.186,-0.261,0.442,0.002,0.002,12972,11911,1,272,person,
theta,-0.62,0.168,-0.938,-0.301,0.002,0.001,9887,12111,1,999,person,
theta,-1.406,0.189,-1.762,-1.052,0.002,0.002,10491,11711,1,1035,person,
theta,-0.541,0.18,-0.872,-0.199,0.001,0.001,15972,12748,1,438,person,
theta,-0.479,0.18,-0.816,-0.133,0.002,0.001,13768,12401,1,672,person,
theta,1.461,0.159,1.155,1.753,0.002,0.001,7620,11141,1,279,person,
theta,-1.352,0.177,-1.692,-1.03,0.002,0.001,9348,10777,1,981,person,
theta,0.448,0.164,0.145,0.752,0.002,0.001,10101,11905,1,546,person,
theta,0.45,0.172,0.126,0.773,0.002,0.002,12685,11723,1,1134,person,
theta,0.182,0.165,-0.138,0.484,0.002,0.001,11896,11488,1,370,person,
theta,1.258,0.167,0.944,1.57,0.002,0.001,8751,12610,1,334,person,
theta,0.183,0.153,-0.107,0.465,0.002,0.001,9522,11809,1,394,person,
theta,-2.417,0.154,-2.714,-2.133,0.003,0.001,3185,7863,1,818,person,
theta,1.153,0.168,0.834,1.47,0.002,0.001,8977,10394,1,932,person,
theta,-1.814,0.18,-2.143,-1.472,0.002,0.001,7720,12253,1,107,person,
theta,0.548,0.174,0.232,0.886,0.002,0.001,11808,12653,1,156,person,
theta,-0.242,0.175,-0.584,0.074,0.002,0.001,12967,12439,1,514,person,
theta,1.737,0.169,1.409,2.04,0.002,0.001,6711,12994,1,490,person,
theta,-0.299,0.18,-0.651,0.023,0.002,0.002,13129,11834,1,274,person,
theta,1.138,0.16,0.835,1.436,0.002,0.001,7872,10959,1,450,person,
theta,0.503,0.17,0.185,0.827,0.002,0.001,10423,12734,1,455,person,
theta,-1.49,0.195,-1.851,-1.118,0.002,0.002,10293,12645,1,896,person,
theta,-1.537,0.179,-1.872,-1.196,0.002,0.001,9102,10971,1,555,person,
theta,0.398,0.166,0.083,0.713,0.001,0.001,13780,12456,1,466,person,
theta,-0.967,0.161,-1.27,-0.668,0.002,0.001,7811,11958,1,158,person,
theta,0.253,0.173,-0.077,0.571,0.002,0.001,13179,12034,1,808,person,
theta,0.721,0.167,0.406,1.03,0.002,0.001,11696,11212,1,889,person,
theta,-0.067,0.182,-0.408,0.272,0.002,0.001,13986,12599,1,62,person,
theta,-0.099,0.16,-0.404,0.194,0.001,0.001,12531,10926,1,444,person,
theta,-0.27,0.176,-0.605,0.059,0.002,0.002,13332,11006,1,662,person,
theta,-0.94,0.185,-1.288,-0.595,0.002,0.002,11706,12491,1,826,person,
